Decade,Mass
0,1979720.9199999997
0600,376.0
0860,472.0
1390,107000.0
1490,127103.3
1570,50000000.0
1580,15000.0
1600,10100000.0
1620,41367.0
1630,18040.0
1660,40.0
1670,4500.0
1680,695.0
1710,8700.0
1720,98039.0
1740,739060.0
1750,70540.0
1760,24500.0
1770,3006900.0
1780,5523405.0
1790,1690175.5
1800,4212849.0
1810,60254730.7
1820,2215754.3
1830,29459803.0
1840,1251822.5
1850,35820647.9
1860,33211945.0
1870,10962999.0
1880,13313255.9
1890,62842159.00000001
1900,24149046.799999997
1910,30324201.95
1920,72685937.5
1930,26487930.3
1940,29920258.8
1950,18158935.09
1960,15140961.320000002
1970,12911672.400000012
1980,8447473.910000034
1990,11352504.605000038
2000,26900405.743000034
2010,1736653.2000000004
2100,55.0
